ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de expiración de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3","Nombre del atributo 4","Valor(es) del atributo 4","Atributo visible 4","Atributo global 4","Nombre del atributo 5","Valor(es) del atributo 5","Atributo visible 5","Atributo global 5","Meta: slide_template","Meta: _wpb_vc_js_status","Meta: _wpml_media_duplicate","Meta: _wpml_media_featured"
15492,simple,,"Caucho doble blanco mate 1 galón",1,0,visible,"Ideal para interiores y exteriores. Ayuda a dar sensación de luz y amplitud. Alto rendimiento, resistencia y durabilidad. Cubre hasta 35 metros cuadrados. Tiempo de secado 35 minutos.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/205054.jpg,,,,,,,,,0,"Código EPA:",205054,1,1,Medidas:,"16\,8 x 20\,0 x 16\,8 cm",1,1,"Unidad de venta:",Galón,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
15498,simple,,"Blanco intenso mate 5 galones",1,0,visible,"Ideal para espacios interiores y exteriores. Excelente opción para superficies que necesitan durabilidad y economía. Ecológica, libre de plomo y cromo. Clase C.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/208102.jpg,,,,,,,,,0,"Código EPA:",0208102,1,0,Medidas:,"29\,9 x 38\,0 x 29\,9 cm",1,1,"Unidad de venta:",Cuñete,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
15510,simple,,"Thinner laca de alto brillo 1 galón",1,0,visible,"Mezcla de solventes para diluir productos nitrocelulosos como fondos, selladores y lacas, así como barnices brillantes. Se recomienda de 1.5 a 3 galones de Thinner por cada galón de laca, sellador o fondo, y un 1/4 por cada galón de barniz brillante.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/212003.jpg,,,,,,,,,0,"Código EPA:",212003,1,1,Medidas:,"10\,4 x 24\,0 x 16\,8 cm",1,1,"Unidad de venta:",Galón,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"Poca existencia",1,1,default,false,1,1
15516,simple,,"Fondo para herrería negro 1 galón",1,0,visible,"De uso general, formulado para la conservación y mantenimiento de obras industriales, estructuras de hierro, madera y mampostería. Rendimiento de 50 metros cuadrados aproximadamente por galón.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/223014.jpg,,,,,,,,,0,"Código EPA:",223014,1,1,Medidas:,"17\,2 x 19\,7 x 17\,2 cm",1,1,"Unidad de venta:",Galón,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
15522,simple,,"Brocha de 2 pulgadas",1,0,visible,"Para paredes lisas, fabricada con cerdas naturales y mango plástico para pinturas al agua. Adecuada para trabajos de mediano tamaño.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/228003.jpg,,,,,,,,,0,"Código EPA:",228003,1,1,Medidas:,"22\,5 x 1\,7 x 6\,0 cm",1,1,"Unidad de venta:",Pieza,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
15528,simple,,"Brocha de 5 pulgadas",1,0,visible,"Para paredes lisas, están fabricada con cerdas naturales y mango plástico para pinturas al agua. Adecuada para superficies más grandes, como paredes, techos, revestimientos exteriores y pisos.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/228006.jpg,,,,,,,,,0,"Código EPA:",228006,1,1,Medidas:,"25\,5 x 2\,0 x 13\,0 cm",1,1,"Unidad de venta:",Pieza,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
15540,simple,,"Funda para rodillo de 9 pulgadas",1,0,visible,"Para usar en superficies lisas con cualquier tipo de pintura, ya que es resistente al agua y solventes.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/232565.jpg,,,,,,,,,0,"Código EPA:",232565,1,1,Medidas:,"22\,5 x 6\,0 x 6\,0 cm",1,1,"Unidad de venta:",Pieza,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
15546,simple,,"Mango para rodillo de 9 pulgadas",1,0,visible,"Mango de acero para fundas de 9 pulgadas con empuñadura ergonómica. Puede usarse en diversas superficies como paredes, techos y maderas.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/232825.jpg,,,,,,,,,0,"Código EPA:",232825,1,1,Medidas:,"25\,0 x 4\,0 x 32\,0 cm",1,1,"Unidad de venta:",Pieza,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
15552,simple,,"Juego de bandeja y rodillo",1,0,visible,"El kit contiene una funda, un mango de 9 pulgadas y una bandeja plástica con capacidad para un galón. De uso es doméstico.",,,,taxable,,1,,0,0,,,,,0,,,,Pintura,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/236001.jpg,,,,,,,,,0,"Código EPA:",236001,1,1,Medidas:,"7\,0 x 4\,0 x 20\,0 cm",1,1,"Unidad de venta:",Juego,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
15558,simple,,"Cemento plástico 5 galones",1,0,visible,"Compuesto a base de asfalto, minerales y fibras. De fácil aplicación y secado rápido. Ideal para tapar goteras, reparar grietas, sellar tuberías de desagüe, juntas entre placas, uniones de losas de concreto, así como reparaciones. Cubre 100 metros cuadrados.",,,,taxable,,1,,0,0,,,,,0,,,,Techo,,,http://www.catalogoepa.com.ve/wp-content/uploads/2017/04/3037249.jpg,,,,,,,,,0,"Código EPA:",3037249,1,1,Medidas:,"31\,0 x 38\,0 x 31\,0 cm",1,1,"Unidad de venta:",Cuñete,1,1,Garantía:,"15 días",1,1,Disponibilidad:,"En existencia",1,1,default,false,1,1
